App ID,Name,Image URL,Minutes of Playtime,Main,Main + Extra,Completionist,Achievements completed, Achievements total, Percentage
1270850,Karma City Police,http://media.steampowered.com/steamcommunity/public/images/apps/1270850/e5a212f6675d27f1d7af25ce16f771c7f64f80c7.jpg,0,0.0,4.5,5.87,0,24,0.0
1275350,Ninja Kiwi Archive,http://media.steampowered.com/steamcommunity/public/images/apps/1275350/4d7f75cfdf614baab330c2e63559d6e600b273e9.jpg,0,0.0,0.0,9.49,NA,NA,NA
1276390,Bloons TD Battles 2,http://media.steampowered.com/steamcommunity/public/images/apps/1276390/a7dc725886824299daeecb20076e7fbd6615927d.jpg,449,8.0,0.0,0.0,NA,NA,NA
1282270,Strinova,http://media.steampowered.com/steamcommunity/public/images/apps/1282270/518dc2e6b49d69a1d5ccb7f5415d76cdb878803b.jpg,0,5.73,0.0,140.2,NA,NA,NA
825190,MisBits,http://media.steampowered.com/steamcommunity/public/images/apps/825190/9dda1448164c28ffd874d1498acc356c448a1b20.jpg,5,0.0,0.0,0.0,1,28,3.57
1286830,STAR WARS: The Old Republic,http://media.steampowered.com/steamcommunity/public/images/apps/1286830/cee1e2970e9535767d963bf3c2c4011adb100609.jpg,0,79.84,190.98,885.95,0,191,0.0
1291500,Kill It With Fire: IGNITION,http://media.steampowered.com/steamcommunity/public/images/apps/1291500/6fd4268c9e467fbe5f28a307240c40622e532eed.jpg,6,0.78,0.0,0.0,NA,NA,NA
1343400,RuneScape,http://media.steampowered.com/steamcommunity/public/images/apps/1343400/021f59318858b7b3081a5dc083e7e302f1882f00.jpg,0,635.08,2112.66,6029.7,0,20,0.0
1382070,Viewfinder,http://media.steampowered.com/steamcommunity/public/images/apps/1382070/6da05b88ad6faf05ea093baa77177700961ff056.jpg,156,4.0,5.02,6.16,12,46,26.09
1468260,Leaf Blower Revolution - Idle Game,http://media.steampowered.com/steamcommunity/public/images/apps/1468260/2d4f99c08afe2e11673db964da768953e752a0fc.jpg,388,58.25,176.43,516.24,9,24,37.5
1476970,IdleOn - The Idle MMO,http://media.steampowered.com/steamcommunity/public/images/apps/1476970/8eae2b19c35dc4319a58ec553e4fb28f8eb60e84.jpg,126,0.0,0.0,0.0,4,68,5.88
1499120,I Expect You To Die 2,http://media.steampowered.com/steamcommunity/public/images/apps/1499120/7901721f5823a389be1147cc48a694a1e72af911.jpg,0,3.68,4.12,7.21,0,19,0.0
1509650,I Am Jesus Christ: Prologue,http://media.steampowered.com/steamcommunity/public/images/apps/1509650/7c12977c65c25070c5fd376c10e7613fdf29ab07.jpg,0,1.17,0.0,1.38,NA,NA,NA
1583720,Entropy : Zero 2,http://media.steampowered.com/steamcommunity/public/images/apps/1583720/36784eb5817acca900ffdd1ce329cc1ac91e027f.jpg,0,7.11,8.67,18.11,0,39,0.0
823130,Totally Accurate Battlegrounds,http://media.steampowered.com/steamcommunity/public/images/apps/823130/920902c516d435c3d9a6c5ef92e3cd4372f9314b.jpg,56,1.75,2.97,8.0,NA,NA,NA
1568590,Goose Goose Duck,http://media.steampowered.com/steamcommunity/public/images/apps/1568590/3b802d5010d6d5d72c93a8565b260c6042cc9390.jpg,0,4.25,7.0,16.5,0,38,0.0
1485080,Just Act Natural,http://media.steampowered.com/steamcommunity/public/images/apps/1485080/4a7143f689b3c7fd24b4f145062e2e8da73ed64d.jpg,0,0.0,0.0,0.0,0,30,0.0
1608230,Planet of Lana,http://media.steampowered.com/steamcommunity/public/images/apps/1608230/bdd2e1185b697ebe383d5f09754d3ca7fb484971.jpg,423,4.6,5.15,5.78,25,25,100.0
1671200,Honkai Impact 3rd,http://media.steampowered.com/steamcommunity/public/images/apps/1671200/525d8e23e908bfe8cb5dcb093a4eb2528a0f55ad.jpg,0,110.02,179.71,362.37,NA,NA,NA
1353300,Idle Slayer,http://media.steampowered.com/steamcommunity/public/images/apps/1353300/4a2e0701c61812a2895147b9c992c72c31ca46d7.jpg,31,34.61,57.02,57.5,48,641,7.49
1687950,Persona 5 Royal,http://media.steampowered.com/steamcommunity/public/images/apps/1687950/2f868d8c16fc357dc7122d440b9de3916e36e6fa.jpg,1047,101.31,122.84,141.78,16,53,30.19
1690730,Incremental Cubes,http://media.steampowered.com/steamcommunity/public/images/apps/1690730/4fe3b510f51d8e82e8b7d6206f8656fc15462d8a.jpg,498,0.0,0.0,0.0,5,16,31.25
